,keywords,number_of_times_word_appeared,tf,idf,tf_idf
588,na,92,0.003013725554427228,-4.5217885770490405,-0.013627429786369827
350,als,88,0.0028826940085825664,-4.477336814478207,-0.01290679200950248
967,ns,84,0.002751662462737904,-4.430816798843313,-0.012192112264645668
703,testing,84,0.002751662462737904,-4.430816798843313,-0.012192112264645668
450,ese,79,0.0025878730304320766,-4.3694478524670215,-0.01130757625527876
329,ou,73,0.0023913257116650833,-4.290459441148391,-0.010259885976474351
1107,for,73,0.0023913257116650833,-4.290459441148391,-0.010259885976474351
388,men,65,0.0021292626199757594,-4.174387269895637,-0.00888836677509144
667,animals,65,0.0021292626199757594,-4.174387269895637,-0.00888836677509144
526,ter,64,0.0020965047335145936,-4.1588830833596715,-0.00871911807039732
285,ac,61,0.001998231074131097,-4.110873864173311,-0.00821447589722449
885,no,60,0.0019654731876699314,-4.0943445622221,-0.008047324458129721
552,use,59,0.001932715301208766,-4.07753744390572,-0.007880719009088264
670,arch,58,0.0018999574147476005,-4.060443010546419,-0.007714668805047739
777,ot,57,0.001867199528286435,-4.04305126783455,-0.007549183420138545
386,medica,57,0.001867199528286435,-4.04305126783455,-0.007549183420138545
253,earch,56,0.0018344416418252694,-4.02535169073515,-0.007384272764476312
171,that,56,0.0018344416418252694,-4.02535169073515,-0.007384272764476312
596,researc,56,0.0018344416418252694,-4.02535169073515,-0.007384272764476312
780,research,55,0.0018016837553641038,-4.007333185232471,-0.007219947102164835
331,eri,55,0.0018016837553641038,-4.007333185232471,-0.007219947102164835
104,medical,54,0.0017689258689029383,-3.9889840465642745,-0.007056217070608668
209,con,49,0.0016051364365971107,-3.891820298110627,-0.006246902565185597
338,cosmetic,47,0.0015396206636747796,-3.8501476017100584,-0.005927766805790702
19,so,47,0.0015396206636747796,-3.8501476017100584,-0.005927766805790702
1124,if,46,0.001506862777213614,-3.828641396489095,-0.005769237207668567
903,cosmetics,45,0.0014741048907524488,-3.8066624897703196,-0.005611419793614321
1166,rs,44,0.0014413470042912832,-3.784189633918261,-0.0054543303925182135
661,hum,43,0.0014085891178301176,-3.7612001156935624,-0.005297985552947332
524,human,42,0.001375831231368952,-3.7376696182833684,-0.005142402593373128
850,com,42,0.001375831231368952,-3.7376696182833684,-0.005142402593373128
1075,ted,41,0.0013430733449077865,-3.713572066704308,-0.004987599657184677
468,are,41,0.0013430733449077865,-3.713572066704308,-0.004987599657184677
92,nat,37,0.0012120417990631246,-3.6109179126442243,-0.004376583443110568
635,ber,37,0.0012120417990631246,-3.6109179126442243,-0.004376583443110568
133,ble,36,0.001179283912601959,-3.58351893845611,-0.00422598623462574
528,medicine,35,0.0011465260261407934,-3.5553480614894135,-0.004076299084486831
1043,mb,34,0.001113768139679628,-3.5263605246161616,-0.003927548001341419
579,exp,34,0.001113768139679628,-3.5263605246161616,-0.003927548001341419
1122,ver,33,0.0010810102532184623,-3.4965075614664802,-0.003779760524401148
259,expe,32,0.0010482523667572968,-3.4657359027997265,-0.0036329658626655503
668,mo,31,0.0010154944802961312,-3.4339872044851463,-0.0034871950515622083
162,sc,30,0.0009827365938349657,-3.4011973816621555,-0.0033424811298150706
455,ethics,30,0.0009827365938349657,-3.4011973816621555,-0.0033424811298150706
501,we,29,0.0009499787073738002,-3.367295829986474,-0.0031988593399157384
867,bio,29,0.0009499787073738002,-3.367295829986474,-0.0031988593399157384
906,stud,28,0.0009172208209126347,-3.332204510175204,-0.0030563673562716844
702,can,25,0.0008189471615291381,-3.2188758248682006,-0.002636089220090576
1077,all,24,0.0007861892750679726,-3.1780538303479458,-0.002498551837008245
585,alternative,22,0.0007206735021456416,-3.0910424533583156,-0.0022276323901425934
956,not,22,0.0007206735021456416,-3.0910424533583156,-0.0022276323901425934
306,ste,21,0.000687915615684476,-3.044522437723423,-0.0020943745272117105
102,from,21,0.000687915615684476,-3.044522437723423,-0.0020943745272117105
760,ory,21,0.000687915615684476,-3.044522437723423,-0.0020943745272117105
284,sci,20,0.0006551577292233105,-2.995732273553991,-0.001962677153702618
121,ys,19,0.0006223998427621449,-2.9444389791664407,-0.0018326183576559234
475,gene,19,0.0006223998427621449,-2.9444389791664407,-0.0018326183576559234
784,rg,18,0.0005896419563009795,-2.890371757896165,-0.0017042844577629958
869,number,18,0.0005896419563009795,-2.890371757896165,-0.0017042844577629958
874,this,18,0.0005896419563009795,-2.890371757896165,-0.0017042844577629958
88,other,18,0.0005896419563009795,-2.890371757896165,-0.0017042844577629958
875,acceptable,18,0.0005896419563009795,-2.890371757896165,-0.0017042844577629958
560,ations,17,0.000556884069839814,-2.833213344056216,-0.0015777713777624946
219,lternatives,17,0.000556884069839814,-2.833213344056216,-0.0015777713777624946
469,lab,17,0.000556884069839814,-2.833213344056216,-0.0015777713777624946
85,uk,17,0.000556884069839814,-2.833213344056216,-0.0015777713777624946
94,hist,16,0.0005241261833786484,-2.772588722239781,-0.00145318634506622
789,mm,16,0.0005241261833786484,-2.772588722239781,-0.00145318634506622
120,with,16,0.0005241261833786484,-2.772588722239781,-0.00145318634506622
1153,alternatives,16,0.0005241261833786484,-2.772588722239781,-0.00145318634506622
944,studies,16,0.0005241261833786484,-2.772588722239781,-0.00145318634506622
170,conduct,16,0.0005241261833786484,-2.772588722239781,-0.00145318634506622
655,its,15,0.0004913682969174828,-2.70805020110221,-0.0013306500152826398
402,such,15,0.0004913682969174828,-2.70805020110221,-0.0013306500152826398
1162,riments,15,0.0004913682969174828,-2.70805020110221,-0.0013306500152826398
695,inc,15,0.0004913682969174828,-2.70805020110221,-0.0013306500152826398
902,our,15,0.0004913682969174828,-2.70805020110221,-0.0013306500152826398
1047,field,15,0.0004913682969174828,-2.70805020110221,-0.0013306500152826398
769,tests,15,0.0004913682969174828,-2.70805020110221,-0.0013306500152826398
1134,necessary,15,0.0004913682969174828,-2.70805020110221,-0.0013306500152826398
1154,experiments,14,0.00045861041045631735,-2.639057329615259,-0.0012102991651526066
578,using,14,0.00045861041045631735,-2.639057329615259,-0.0012102991651526066
532,used,14,0.00045861041045631735,-2.639057329615259,-0.0012102991651526066
194,subject,14,0.00045861041045631735,-2.639057329615259,-0.0012102991651526066
483,view,13,0.00042585252399515185,-2.5649493574615367,-0.0010922901577947383
592,experimentation,13,0.00042585252399515185,-2.5649493574615367,-0.0010922901577947383
1141,nov,13,0.00042585252399515185,-2.5649493574615367,-0.0010922901577947383
897,involve,12,0.0003930946375339863,-2.4849066497880004,-0.0009768034788042062
380,have,12,0.0003930946375339863,-2.4849066497880004,-0.0009768034788042062
471,how,12,0.0003930946375339863,-2.4849066497880004,-0.0009768034788042062
197,indica,12,0.0003930946375339863,-2.4849066497880004,-0.0009768034788042062
659,ication,12,0.0003930946375339863,-2.4849066497880004,-0.0009768034788042062
357,here,12,0.0003930946375339863,-2.4849066497880004,-0.0009768034788042062
67,these,12,0.0003930946375339863,-2.4849066497880004,-0.0009768034788042062
109,by,12,0.0003930946375339863,-2.4849066497880004,-0.0009768034788042062
1027,out,12,0.0003930946375339863,-2.4849066497880004,-0.0009768034788042062
252,november,11,0.0003603367510728208,-2.3978952727983707,-0.0008640497920130402
1137,genet,11,0.0003603367510728208,-2.3978952727983707,-0.0008640497920130402
376,history,11,0.0003603367510728208,-2.3978952727983707,-0.0008640497920130402
